price,bedrooms,bathrooms,floorsize,city,zipcode
519000,2,2,1275,MammothLakes,93546
689000,3,2,1456,Irvine,92612
329000,3,2,1368,Ione,95640
948000,2,2,721,SanFrancisco,94114
265000,2,2,1200,SealBeach,90740
674900,4,3,2365,ElDoradoHills,95762
699999,3,4,1418,SanDiego,92117
468000,3,3,1166,Anaheim,92804
3300000,4,3,2405,SanFrancisco,94123
529000,3,2,1206,LagunaNiguel,92677
349950,3,2,1298,Turlock,95380
379000,2,2,992,ImperialBeach,91932
449900,3,2,1315,ChulaVista,91913
899000,3,3,3136,RanchoMirage,92270
469000,2,1,622,LosAngeles,90029
1298000,2,2,1084,SanFrancisco,94115
379000,2,2,1147,ThousandOaks,91360
310000,4,2,1421,Carson,90745
373500,3,2,1149,Roseville,95678
309000,4,2,1474,Modesto,95358
399900,2,2,1278,RanchoMurieta,95683
386190,3,3,1432,Fontana,92336
370000,2,2,1160,Covina,91724
450000,2,1,828,SanJose,95127
525000,3,3,1700,SantaClarita,91350
264900,3,2,1191,Sacramento,95826
795000,1,1,705,SanFrancisco,94108
322500,2,3,1250,WestSacramento,95691
562500,3,3,1420,RanchoSantaMargarita,92688
145000,3,3,1575,ElCentro,92243
464000,2,2,832,LosAngeles,90042
575000,2,2,885,CulverCity,90230
429000,2,2,890,LongBeach,90804
371490,1,1,750,SanFrancisco,94102
529990,3,2,1143,RanchoSantaMargarita,92688
948000,2,2,1261,MountainView,94043
649000,2,1,858,SanFrancisco,94109
599999,2,2,1080,SanClemente,92672
199000,2,1,875,Sacramento,95826
269900,3,2,1119,Riverside,92506
419999,2,2,1223,SanJose,95135
2499000,2,2,1324,SantaMonica,90401
850000,3,3,1763,SanRamon,94582
324900,2,2,910,LosAngeles,91304
495000,2,2,1040,SanDiego,92128
349990,1,1,729,SealBeach,90740
269000,1,1,675,SanDiego,92108
765000,2,3,1234,Irvine,92603
585000,3,3,2071,Fullerton,92833
265000,2,2,912,LaQuinta,92253
339000,2,2,1320,RanchoMirage,92270
1495000,2,1,1962,SanFrancisco,94115
299900,1,1,685,LakeForest,92630
879000,2,2,2500,SanFrancisco,94110
799000,3,3,1897,Montrose,91020
327500,4,3,1808,Beaumont,92223
505000,3,3,1179,YorbaLinda,92886
155000,1,1,589,PalmSprings,92262
570000,2,2,1181,Pasadena,91101
210000,2,2,864,SanBernardino,92408
928000,2,2,1456,SantaClara,95051
598000,1,1,756,MountainView,94040
119900,2,2,1324,YuccaValley,92284
359900,2,2,1138,RohnertPark,94928
769900,3,2,1491,Irvine,92614
229000,2,2,840,Sacramento,95834
899000,3,4,1901,SanJose,95123
749000,2,1,649,SantaMonica,90405
639000,2,3,1289,AlisoViejo,92656
145000,3,2,1128,RanchoMirage,92270
1199000,3,2,1380,SanFrancisco,94121
385000,3,3,1873,PalmDesert,92211
140000,2,1,1023,Bakersfield,93309
325880,2,2,805,LongBeach,90804
350000,2,2,870,LongBeach,90804
335000,2,2,966,Anaheim,92804
319000,1,1,646,Gardena,90249
799900,3,3,2000,SanClemente,92672
339000,1,1,685,AlisoViejo,92656
612888,2,1,942,SanJose,95123
497000,3,3,1346,Commerce,90040
699000,3,3,1650,Irvine,92604
244800,1,1,578,SanDiego,92122
785900,2,2,1155,SantaBarbara,93109
549000,1,1,647,WestHollywood,90069
399000,3,3,1361,Paramount,90723
309900,1,1,680,MammothLakes,93546
375000,2,2,946,Montebello,90640
725000,1,1,855,SanFrancisco,94117
715000,1,1,555,SanFrancisco,94123
1875000,4,4,1893,MountainView,94043
359900,3,2,1972,BermudaDunes,92203
870000,3,2,1360,HalfMoonBay,94019
438000,3,2,1057,Ventura,93003
1380000,2,2,1295,Malibu,90265
425000,2,2,1054,Tustin,92780
879000,2,1,768,SanFrancisco,94123
1185000,3,2,1568,Lafayette,94549
665000,2,3,1300,Irvine,92614
250000,1,1,420,LongBeach,90802
399900,2,2,1158,WestlakeVillage,91361
365000,2,2,909,Norwalk,90650
879000,4,3,1740,LosAngeles,91042
319900,2,2,1324,LagunaWoods,92637
899000,1,1,962,SanFrancisco,94107
495000,2,2,1117,Torrance,90505
439000,1,1,668,Oakland,94607
1249000,2,2,1256,Oakland,94607
575000,2,2,813,MammothLakes,93546
550000,1,1,744,SanFrancisco,94115
599000,3,2,1460,Glendale,91208
485000,2,2,1177,Orange,92866
549000,2,2,1487,SanClemente,92673
699995,2,2,942,WestHollywood,90048
305000,3,3,1457,Redlands,92373
419500,3,2,1080,SanDiego,92123
817064,3,2,1154,Fremont,94539
389950,1,1,622,SantaClara,95051
550000,2,1,800,Oakland,94602
399000,0,1,454,WestHollywood,90069
549000,3,3,1536,MontereyPark,91754
269000,2,2,1079,LagunaWoods,92637
585000,2,1,850,SanFrancisco,94115
837064,3,2,1154,Fremont,94539
429900,2,1,798,UnionCity,94587
829000,3,3,1457,MammothLakes,93546
325000,3,3,1548,Murrieta,92562
470000,3,2,1187,LakeForest,92630
908000,3,2,1550,Brisbane,94005
949000,3,3,1573,SantaBarbara,93105
335000,2,2,1095,Covina,91724
335000,2,2,1095,Covina,91724
499500,2,1,610,SanFrancisco,94131
175995,2,2,1040,LagunaWoods,92637
345000,1,1,653,SanDiego,92109
545000,2,1,1039,Monterey,93940
624900,2,2,1236,CulverCity,90230
825000,4,3,3059,Roseville,95747
362500,2,2,1166,HuntingtonBeach,92649
729000,2,3,1310,SanDiego,92101
2695000,2,2,1482,SanFrancisco,94107
379990,2,1,875,SanDiego,92102
473900,3,2,1001,SimiValley,93065
999500,2,3,1133,SanFrancisco,94107
167000,2,1,803,Auburn,95602
217000,2,2,939,RanchoCordova,95670
299000,1,1,794,Concord,94521
560000,2,3,1200,Carlsbad,92009
435000,2,2,898,Cerritos,90703
500000,4,2,1381,SanMarcos,92078
792880,3,3,1580,Irvine,92614
350000,2,2,931,LaHabra,90631
637920,1,1,934,Fremont,94539
330000,2,2,878,SantaAna,92704
949000,1,1,862,SanFrancisco,94105
298950,2,2,921,SantaAna,92703
659990,3,2,1095,CulverCity,90230
498000,2,2,1037,HuntingtonBeach,92646
450000,1,1,550,SanFrancisco,94107
499000,2,3,1021,Pasadena,91106
419000,3,2,1344,WestCovina,91791
239000,1,1,535,Pomona,91767
598577,1,1,865,Fremont,94539
549000,3,3,1367,Petaluma,94954
299000,2,2,1050,Concord,94521
950000,3,2,1967,LagunaWoods,92637
399800,2,2,1067,Hercules,94547
1150000,2,2,950,SanFrancisco,94118
399000,3,2,1476,Rocklin,95677
240000,1,1,625,SanDiego,92115
499000,1,1,732,SanDiego,92103
337900,3,2,1408,Murrieta,92563
296500,0,1,581,Watsonville,95076
535000,2,2,945,LaJolla,92037
399000,1,1,520,LosAngeles,90015
249000,1,1,625,SanDiego,92115
245000,1,1,625,SanDiego,92115
620000,2,2,1001,LosAngeles,90017
369000,2,2,1110,SanPablo,94806
599000,1,2,1078,MorroBay,93442
219000,2,2,960,PalmSprings,92264
200000,2,2,735,PalmSprings,92264
335000,1,1,757,LakeArrowhead,92352
